DateTime,stage_1_output_konv_avd,stage_2_input_water_sum,stage_2_output_bottom_pressure,stage_2_output_bottom_temp,stage_2_output_bottom_temp_hum_steam,stage_2_output_bottom_vacuum,stage_2_output_top_pressure,stage_2_output_top_pressure_at_end,stage_2_output_top_temp,stage_2_output_top_vacuum,stage_3_input_pressure,stage_3_input_soft_water,stage_3_input_steam,stage_3_output_temp_hum_steam,stage_3_output_temp_top,stage_4_input_overheated_steam,stage_4_input_polymer,stage_4_input_steam,stage_4_input_water,stage_4_output_dry_residue_avg,stage_4_output_product,work_shift,stage_4_output_danger_gas
2021-01-28 18:00:00,67.83,4.54318839363221,474.18,4.354655437877749,97.52,49.94,5.893024474294729,252.04,97.48,45.93,0.35,426.06,664.93,4.697293474863897,45.59,156.67,19.08,5.92,356.05,21.48,47.03,1,
2021-01-28 19:00:00,67.83,4.5306621338130295,473.68,4.34575157880917,97.82,48.55,5.874228236969961,244.87,97.66,45.16,0.35,439.41,671.68,4.697840520829399,45.89,156.76,19.15,5.94,357.69,21.48,45.05,1,
2021-01-28 20:00:00,67.83,4.517976974285714,473.17,4.336767728268267,98.12,47.15,5.855071922202427,237.7,97.85,44.38,0.35,452.76,678.44,4.6982961639775755,46.19,156.86,19.23,5.97,359.33,21.48,43.06,1,
2021-01-28 21:00:00,67.93,4.5134933974161875,473.59,4.334148554429418,97.79,49.33,5.8798064655651,249.87,97.5,45.27,0.35,440.25,717.99,4.697111059686448,45.87,156.41,19.36,5.97,339.99,21.48,46.01,1,0.16
2021-01-28 22:00:00,68.03,4.5090997172373575,474.0,4.331522502500114,97.46,51.51,5.903971235824856,262.04,97.15,46.16,0.35,427.74,757.55,4.696015869287668,45.54,155.96,19.49,5.97,320.64,21.48,48.95,1,
2021-01-28 23:00:00,68.03,4.593704707878813,474.42,4.339510497570803,98.06,51.27,5.9089249748608585,261.23,97.75,46.41,0.34,425.42,739.68,4.694370831446394,45.48,156.15,21.43,5.85,302.72,21.48,51.39,1,
2021-01-29 00:00:00,69.03,4.671706709788335,474.84,4.347435189904263,98.65,51.02,5.91382727738083,260.43,98.35,46.66,0.33,423.09,721.81,4.692814695840138,45.42,156.33,23.37,5.72,284.8,21.48,53.83,1,
2021-01-29 01:00:00,71.23,4.672548421318039,475.01,4.355425952876702,98.28,51.24,5.917198870211829,260.85,98.14,46.79,0.33,427.89,707.43,4.693730362967572,45.74,156.46,22.93,5.73,319.95,21.98,52.55,1,0.15
2021-01-29 02:00:00,73.33,4.673389424965236,475.19,4.363226005210164,97.9,51.45,5.920559133592207,261.26,97.94,46.92,0.34,432.69,693.05,4.694553747122777,46.05,156.59,22.49,5.73,355.09,22.58,51.27,1,
2021-01-29 03:00:00,73.33,4.6709579265260945,474.87,4.355810987855469,98.03,49.77,5.897785536223994,251.74,97.97,46.13,0.34,412.6,688.55,4.696198484335655,46.03,156.55,20.06,5.79,354.3,22.58,48.55,1,
2021-01-29 04:00:00,73.33,4.668520501488853,474.54,4.348469851145039,98.15,48.08,5.874481191622163,242.22,98.01,45.35,0.35,392.51,684.05,4.697749367281185,46.01,156.51,17.63,5.85,353.52,22.58,45.83,1,
2021-01-29 05:00:00,69.93,4.665229942415754,473.91,4.351953950417589,97.42,49.17,5.888268354279532,248.32,97.37,45.83,0.35,407.4,685.57,4.698387267699225,46.52,156.65,18.16,5.84,342.78,22.58,46.77,1,
2021-01-29 06:00:00,68.03,4.661834033105633,473.29,4.355425952876702,96.69,50.26,5.901868013296226,254.42,97.36680000000003,46.32,0.36,422.29,687.1,4.698933715800255,47.03,156.79,18.7,5.83,332.03,22.58,47.71,1,
2021-01-29 07:00:00,68.03,4.670208582167313,472.43,4.354398467556408,98.98,49.7,5.894099758038861,251.5,98.72,46.0,0.37,407.64,678.06,4.7019338544204,46.57,156.49,18.32,5.78,295.51,22.58,45.35,1,
2021-01-29 08:00:00,68.83,4.678420647727684,471.56,4.353369925424077,99.41597199999991,49.14,5.886270684229476,248.59,98.42299999999997,45.69,0.39,393.0,669.02,4.704925019125084,46.1,156.18,17.95,5.73,258.98,22.58,42.99,0,0.13
2021-01-29 09:00:00,68.33,4.675069313367758,470.04,4.353112624509239,99.32,49.29,5.887935686279126,249.03,98.95,45.81,0.39,401.6,672.57,4.706281687356503,46.11,156.49,17.74,5.73,253.27,22.58,43.35,0,
2021-01-29 10:00:00,67.83,4.671613142536805,468.53,4.3528552573736015,97.36,49.44,5.889597920704412,249.48,97.18,45.93,0.4,410.2,676.11,4.707726774313183,46.13,156.81,17.53,5.73,247.56,22.58,43.71,0,
2021-01-29 11:00:00,68.791,4.667581446109488,467.4,4.349115971216622,97.38,48.46,5.882151787167281,244.24,97.38,45.61,0.38,405.47,670.72,4.704743990884184,46.25,156.67,18.1,5.74,284.49,22.58,44.72,0,
2021-01-29 12:00:00,67.63,4.663533429285006,466.27,4.345232973844869,97.4,47.49,5.874649792516147,239.01,97.58,45.29,0.36,400.74,665.32,4.7017522838343355,46.38,156.53,18.67,5.75,321.42,22.58,45.73,0,
2021-01-29 20:00:00,70.03,4.656718447868668,467.58,4.35696520407851,96.68,49.96,5.901047376983519,253.17,97.01,46.19,0.32,399.65,681.28,4.6929063002921785,44.4,156.65,18.28,5.98,276.05,20.78,49.57,0,
2021-01-29 21:00:00,68.73,4.654436427291009,465.82,4.334803991301542,96.24,45.14,5.835073860337377,224.87,96.27,43.96,0.32,407.98,669.27,4.692081557977388,45.84,156.62,15.2,5.88,319.02,20.78,43.67,0,0.14
2021-01-29 22:00:00,67.33,4.65224459337402,464.06,4.312140507209715,95.8,40.32,5.764469839602284,196.58,95.53,41.73,0.32,416.32,657.25,4.6913478822291435,47.28,156.58,12.13,5.79,361.99,20.78,37.78,0,
